api_name,method_name,doc_url,doc_id,description,params_text,returns_text
stock_account,stock_account,https://tushare.pro/document/2?doc_id=164,164,股票开户数据（新版）,"start_date, end_date","weekly_new, total, weekly_hold, weekly_trade"
stock_account_old,stock_account_old,https://tushare.pro/document/2,,股票开户数据（旧版）,date,开户数据（老口径）
broker_recommend,broker_recommend,https://tushare.pro/document/2?doc_id=267,267,券商金股推荐,"month, broker",券商推荐列表
broker_recommend_detail,broker_recommend_detail,https://tushare.pro/document/2?doc_id=267,267,券商金股推荐明细,"ts_code, month",推荐明细
report_rc,report_rc,https://tushare.pro/document/2?doc_id=292,292,券商盈利预测数据（研报结构化）,"ts_code, ann_date, start_date, end_date, period","org_name, quarter, eps, roe, pe, pb, rating 等"
cyq_perf,cyq_perf,https://tushare.pro/document/2?doc_id=293,293,每日筹码平均成本与胜率,"ts_code, start_date, end_date","his_low, his_high, cost_5pct, cost_95pct, weight_avg, winner_rate 等"
cyq_chips,cyq_chips,https://tushare.pro/document/2?doc_id=294,294,每日筹码分布,"ts_code, start_date, end_date","price, percent 等"
ccass_hold,ccass_hold,https://tushare.pro/document/2?doc_id=295,295,中央结算系统持股汇总,"ts_code, start_date, end_date","shareholding, hold_nums, hold_ratio 等"
ccass_hold_detail,ccass_hold_detail,https://tushare.pro/document/2?doc_id=274,274,中央结算系统持股明细,"ts_code, trade_date, start_date, end_date","col_participant_id, col_participant_name, col_shareholding 等"
stk_factor,stk_factor,https://tushare.pro/document/2?doc_id=296,296,股票每日技术面因子,"ts_code, trade_date, start_date, end_date, fields","macd, kdj_k, kdj_d, kdj_j 等技术指标"
stk_factor_pro,stk_factor_pro,https://tushare.pro/document/2?doc_id=328,328,股票每日技术面因子（专业版）,"ts_code, trade_date, start_date, end_date, fields",指标字段（含前后复权/多周期因子）
stk_auction_o,stk_auction_o,https://tushare.pro/document/2?doc_id=353,353,股票开盘集合竞价数据,"trade_date, ts_code","open, high, low, close, vol, amount, vwap 等"
stk_auction_c,stk_auction_c,https://tushare.pro/document/2?doc_id=354,354,股票收盘集合竞价数据,"trade_date, ts_code","close, high, low, vol, amount, vwap 等"
shhk_daily,shhk_daily,https://tushare.pro/document/2?doc_id=399,399,沪深港通指数日度指标,"trade_date, start_date, end_date, market","north_money, south_money, prem_ratio, ah_p 等"
stk_nineturn,stk_nineturn,https://tushare.pro/document/2?doc_id=364,364,神奇九转指标,"ts_code, freq, trade_date, start_date, end_date, fields","up_count, down_count, nine_up_turn, nine_down_turn 等"
stk_ah_comparison,stk_ah_comparison,https://tushare.pro/document/2?doc_id=399,399,AH股比价,"trade_date, ts_code, hk_code, start_date, end_date","ah_comparison, ah_premium, hk_close, close 等"
stk_surv,stk_surv,https://tushare.pro/document/2?doc_id=275,275,机构调研数据,"ts_code, trade_date, start_date, end_date, fields","surv_date, fund_visitors, rece_place, rece_mode, rece_org 等"
stock_mx,stock_mx,https://tushare.pro/document/2?doc_id=300,300,动能因子数据,"ts_code, trade_date, start_date, end_date","mx_grade, com_stock, evd_v, zt_sum_z, wma250_z 等"
share_float,share_float,https://tushare.pro/document/2?doc_id=108  (若具体 doc_id 以官方为准),108,限售股解禁/流通股本变动,"ts_code, start_date, end_date","float_date, float_share, reason 等"
float_share,float_share,https://tushare.pro/document/2  (以实际子页为准),,流通股本变动（另一口径，如有）,"ts_code, start_date, end_date","float_date, float_share 等"
stk_premarket,stk_premarket,https://tushare.pro/document/2?doc_id=329,329,盘前股本情况,trade_date,"total_share, float_share, pre_close, up_limit, down_limit 等"
stk_restrict,stk_restrict,https://tushare.pro/document/2  (以实际子页为准),,限售股解禁计划,"ts_code, end_date, start_date","restric_type, restric_share, restric_ratio, ann_date, float_date 等"
hs_const,hs_const,https://tushare.pro/document/2?doc_id=104,104,沪深股通成份股,"hs_type (SH/SZ), is_new","ts_code, hs_type, in_date, out_date, is_new 等"
index_basic,index_basic,https://tushare.pro/document/2?doc_id=94,94,指数基础信息,"market, publisher, category 等","ts_code, name, fullname, market, publisher, category"
index_daily,index_daily,https://tushare.pro/document/2?doc_id=95,95,指数日线,"ts_code, trade_date, start_date, end_date","open, high, low, close, pre_close, change, pct_chg, vol, amount"
index_dailybasic,index_dailybasic,https://tushare.pro/document/2?doc_id=96,96,指数每日指标,"ts_code, trade_date, start_date, end_date","turnover_rate, turnover_rate_f, pe, pe_ttm, pb, total_mv, float_mv, free_share"
index_weight,index_weight,https://tushare.pro/document/2?doc_id=97,97,指数成分权重,"index_code, trade_date, start_date, end_date","index_code, con_code, trade_date, weight"
index_classify,index_classify,https://tushare.pro/document/2  (以实际子页为准),,指数分类/列表（扩展）,"src, category, market 等",根据文档为准
index_member,index_member,https://tushare.pro/document/2  (以实际子页为准),,指数成分明细（便于获取成分股列表）,"index_code, trade_date","index_code, con_code, in_date, out_date 等"
index_weekly,index_weekly,https://tushare.pro/document/2  (以实际子页为准),,指数周线,"ts_code, start_date, end_date","open, high, low, close, vol, amount"
index_monthly,index_monthly,https://tushare.pro/document/2  (以实际子页为准),,指数月线,"ts_code, start_date, end_date","open, high, low, close, vol, amount"
fund_basic,fund_basic,https://tushare.pro/document/2?doc_id=43,43,基金基础信息（可用于筛选 ETF）,,"ts_code, name, fund_type, market, list_date 等"
fund_daily,fund_daily,https://tushare.pro/document/2?doc_id=185,185,基金/ETF 日线行情,"ts_code, trade_date, start_date, end_date","open, high, low, close, vol, amount"
rt_etf_k,rt_etf_k,https://tushare.pro/document/2?doc_id=400,400,ETF 实时日线行情,"ts_code, topic",实时 ETF 日线 K 数据
fund_nav,fund_nav,https://tushare.pro/document/2?doc_id=44  (若 ETF 专题另有专用文档，以专用为准),44,基金净值（部分 ETF 提供/取决于文档）,"ts_code, nav_date, start_date, end_date","ts_code, nav, accum_nav 等"
fund_div,fund_div,https://tushare.pro/document/2  (以实际子页为准),,基金分红信息（ETF/基金）,"ts_code, ann_date, record_date, ex_date",分红方案、每份分红、登记/除权日期等
fund_portfolio,fund_portfolio,https://tushare.pro/document/2?doc_id=47  (示意：请以实际 ETF 持仓接口文档为准),47,基金/ETF 持仓（若 ETF 专题提供相应表，以其为准）,"ts_code, period",持仓明细
fund_adj,fund_adj,https://tushare.pro/document/2  (以实际子页为准),,基金/ETF 复权因子,"ts_code, trade_date, start_date, end_date",adj_factor 等
fund_share,fund_share,https://tushare.pro/document/2  (以实际子页为准),,基金份额变动（部分 ETF 适用）,"ts_code, start_date, end_date","trade_date, share, change 等"
fund_company,fund_company,https://tushare.pro/document/2  (以实际子页为准),,基金公司,"name, fields",基金公司信息
fund_manager,fund_manager,https://tushare.pro/document/2  (以实际子页为准),,基金经理信息,"ts_code, mger_name",任职时间、管理基金等
llm_corpus,llm_corpus,,,大模型语料专题的统一入口（占位）,,
